0x4a008fbf74c4fef109050ed692e11e25fa57f31f.sol,0.4.25,Mutual_success_Concept
0x39A8db3Bc0940ED393193d8FfE1383B2898a85f7.sol,0.6.0,ConnectOasis
0x2d64234ff9295174c9805ca68ef5f9ac63f21554.sol,0.4.24,eCredit
0x02608d852534e64e63b06bdd79a8422dfc02d451.sol,0.5.11,Crowdsale
0x23003ddcee4428da34748cbb5e82fff20dc16453.sol,0.4.26,ZXLToken
0x5c3662193fc74605dadddbd51061507e00d9e2d4.sol,0.5.17,PUBLICWHITELISTING
0x7FdAF7e0efF6eD6665B6683267Ac43866E30d44c.sol,0.5.10,SonykRC
0x362B4c3947592e3ED0e54580768a92CFEa654b02.sol,0.4.18,FromCarToken
0x197e90f9fad81970ba7976f33cbd77088e5d7cf7.sol,0.5.12,Pot
0x92fcc0b3a7c8da7538b063fa79247ee3c0abdb2b.sol,0.4.26,Trader
