0x7c9D8Fb3bDe3D9Ea6e89170618C2dC3d16695D36.sol,0.4.23,MainToken
0xaF3573E1E223c601340AdE1f1D52cd106B264367.sol,0.4.24,TrifoliumCoin
0x738d3cec4e685a2546ab6c3b055fd6b8c1198093.sol,0.6.12,PampStaking
0x38c4102d11893351ced7ef187fcf43d33eb1abe6.sol,0.5.17,SHRIMPDelegator
0x59405d4d1d34ea5c8ecae35f52a3e36c29d6c35d.sol,0.4.24,StrategicAlternativeEnergyToken
0xb23eb1dd35e79e368a23dc01fbb70d94b54a3279.sol,0.5.16,Asuka
0x5513d6a79b7a2d1734fc590d8071e45e73aa2dae.sol,0.5.0,Staking
0x3b96cb1330bf6d55786c3d5d3c7592cb8ce54454.sol,0.6.0,BondData
0x2b93c15f8cae8dfa565f6530e0bc6f8291366913.sol,0.5.16,HamMoneyToken
0x7046b0bfc4c5eeb90559c0805dd9c1a6f4815370.sol,0.5.16,SavingsManager
