0x8b64d94d42fa3c05dc8579ae9ba788e0cb35d999.sol,0.5.12,KyberSwapDapp
0x1D35C42e9dCB5C5343Fbd70fE73b2284D042d082.sol,0.5.0,HugCoin
0x32dbd3214ac75223e27e575c53944307914f7a90.sol,0.4.24,Aggregator
0xb1b0631aa73ac5ecc167befbf5a127fa28417ac2.sol,0.5.17,DharmaTradeReserveV9Implementation
0x4bd22737812e4412879aacf0b400131e1ee0a4a5.sol,0.4.24,Controller
0xa52676ba9876840cce96e177a48555162b6a5cda.sol,0.5.1,afalos
0x9149dd1a96d4ccfeb3c91b2c8ff42e3f306ce405.sol,0.4.24,HEBToken
0x50668356cadfb5cae006c06ed16bcffc11524218.sol,0.5.10,ZXTHGold
0xAA912F203DcC1f5b6F862c0e0dA3254Cfc08A1d9.sol,0.6.10,TrueGBP
0x8dfeb86c7c962577ded19ab2050ac78654fea9f7.sol,0.4.26,BancorNetwork
