0x1df51de914617a7e4caba90b9101363a189dbbe3.sol,0.4.18,ConversionRateEnhancedSteps
0x593489456f221c6851414a90716644fad8a11038.sol,0.4.18,Lotto
0x41025e5a1917c67e3a5813bfb2a3ba29e87a6d5b.sol,0.4.23,Token
0x02525172418dfd0c828c567ddbfab064e60831a2.sol,0.5.17,MinionSummoner
0x0624db56899e6554df01a40905a57bb183482d5d.sol,0.4.25,Lottery
0x6Fe92A032F76Dd6F1947ABC43214DC2cFFE722Cf.sol,0.6.4,Token
0x9aa74dd3dfbef17bc5709d3aa01042159a5c992d.sol,0.4.24,Damda
0x14d9444f6b9d55caba5d73f15bea947695c11c82.sol,0.4.24,Leopard
0x06fe76b2f432fdfecaef1a7d4f6c3d41b5861672.sol,0.6.5,AdapterRegistry
0x33a3d20a2353a13cdb6021f7d1ecff1bffd43504.sol,0.5.12,DistributeTokens
