0x23914b61e98da1e9e20b98d8cc41a86bc80a899b.sol,0.4.18,Token
0xab5d44cb18b863592ab444ce2da1f054bb6b0d4e.sol,0.4.24,GoalTimeToken
0x7a98cabf7a4ac415fab5ed8a724e920d46e550ae.sol,0.4.26,ProofOfExistence
0xac78eae6abbab0fee684425614bf694547eccf7e.sol,0.5.4,LOAPROTOCOL
0x1e8cd1222d2d4bb34f0b3b0afcc978b825b65139.sol,0.5.13,TOTAL
0xa5d34a3ed742f103411409c802baa3a054a89f75.sol,0.6.7,ERCToken
0x7cb602a82eb259138d112fb09bd70239cf691727.sol,0.4.24,USDQToken
0x3934a1f9b396b65d262b3f70ff8ccbea911cd9cf.sol,0.4.20,ReceiverPays
0x64043a98f097fd6ef0d3ad41588a6b0424723b3a.sol,0.5.12,Dach
0x35fbc59b87229d3beddbfb1d3c1d7a97ee0c4fff.sol,0.5.11,Adrenaline
