0x4e08F5595B71D2F57247eC104C1DF1b5d9df746D.sol,0.4.25,TagMembership
0x9328f2fb3e85a4d24adc2f68f82737183e85691d.sol,0.5.11,CurveReserveTradeHelperV2
0x408ccef939325167fb0285a4363ecc766598bddb.sol,0.4.26,UniswapTradeExample
0x0b2d2b5e550f77ee125d3898ead74331ccf1da76.sol,0.5.11,EtherDie
0x2e6ec929349d0eb57fd8f699f8b8445aa6e8e43f.sol,0.5.2,MintingPool
0x335a09936b7c00f22af83a0990a44661aa64160b.sol,0.4.26,EightyTwentyPortfolio
0x3d362791fda48491bddc20c4cf147fef688ad56e.sol,0.5.11,DharmaDaiUpgradeBeaconStaging
0x8Bf592fD4217F064327D1db45a58C66f6D297584.sol,0.5.0,Automaton
0x86Ab844a067094eC2c5a4badE21fcf2aEEE32122.sol,0.4.26,SafeMath
0x5972590268bb78e3168d95f28d922bd8e4febd83.sol,0.4.24,DistributeEth
