solidity,solc,contract
0x9e45bc6711b4316e3f238d6355b5acc2152df916.sol,0.5.16,ShareholderVomer
0x6946c3a405213cb52205019a56934d9a74f7c9e2.sol,0.6.0,Deloyer
0x723b51b72ae89a3d0c2a2760f0458307a1baa191.sol,0.6.8,EtherizerV2
0x66126B4aA2a1C07536Ef8E5e8bD4EfDA1FdEA96D.sol,0.5.16,BasketManagerProxy
0x8b79d1a101e1e823ceebd5f71895604785435e36.sol,0.5.0,SaverProxy
0x5DDC23dEE470AEc28D51721b4E3A25f9399166EC.sol,0.5.16,P1InverseFundingOracle
0x63551b8bc265ee6f68ed8e2d439cdd4ef8803826.sol,0.5.12,CheezyExchange
0x644ce9e12b10748aad1ad20c1eac5a768c2900b2.sol,0.4.26,flashIt
0x7a250d5630b4cf539739df2c5dacb4c659f2488d.sol,0.6.6,TransferHelper
0x71Be700eeE096eDb23eb3110219A01f4c8999747.sol,0.5.11,SPEEDBULLPROV3
0x305615737ca8d00b2425b06238047cf10c57ed1c.sol,0.4.25,HEICToken
0x95d5d6ebAa2E96d643Bd1dfd4FaEa700B7f6753c.sol,0.4.24,FJTX1000X02
0x128cebf594864f1f0f396cce577457895c6b0856.sol,0.5.11,InternationalMonetaryDigital
0xab8513802ee8d1958f04d181926bc33e5030d478.sol,0.4.25,DMEX_Trading
0x541d676940Fd68f2755c1585ec06a6f4857cf193.sol,0.4.24,BitcoinSmooth
0xb0d95049a9d78a1f5f111ce18f25e0294da78418.sol,0.5.17,LexGuildLocker
0x78eb33ac02a7ddf77f80b313e5f4d94d507610ed.sol,0.6.8,Token
0x19c8ac33cb42c67ce69bcf4e52466a955d46f866.sol,0.5.0,WindsCoinToken
0x8dfeb86c7c962577ded19ab2050ac78654fea9f7.sol,0.4.26,BancorNetwork
0x733fa571c2db987dbdb7767fabf8392300f456d6.sol,0.5.16,EthToDaiTradeHelperV4
0x09ab0089e07dec0ba71153cd818c44bd29562129.sol,0.4.25,MEYToken
0x8783a447fc4e0810c1f815de572a33a0a07f3303.sol,0.4.26,MSLD
0x8be0ec59cf66324d062e8dec33788ce77f1d72bc.sol,0.4.18,Token
0x039aA54fEbe98AaaDb91aE2b1Db7aA00a82F8571.sol,0.5.4,DualsigsLogic
0x49229c3902d49be6443e01c0251b02780397ab1a.sol,0.5.17,map
0x0f5eb292ae3822f13b1479e37ffe3fff795d220a.sol,0.6.0,InstaCompoundResolver
0x7252857b10db7af06499351aaf5987ce25bd4198.sol,0.4.21,VOGel
0x1e380a4d4a6d16f4b5f873c2d58f34344013b1ef.sol,0.5.2,BBCM
0x604e56f49e34beb2ea566e069c6911c60193acd7.sol,0.4.24,WADCoin
0x6842393cfe5c0f1546ddececbf56c5beea8bdac3.sol,0.5.12,ERC20Token
0x14d9444f6b9d55caba5d73f15bea947695c11c82.sol,0.4.24,Leopard
0x98439bb859c63cf1b0b24610d4e83ca2c0e8981f.sol,0.5.4,SafeLife
0x469b5fef2d3e83c51915505530fe432abc62d6f4.sol,0.5.7,CompImport
0x324671fe75b36102dd1a25dabacaa2a05ad76fb8.sol,0.4.24,Fifth_Generation_Digital_Currency
0x93e0c0359e227af532e560a5573f056e644f8f53.sol,0.6.6,AccessControlledAggregator
0xb669ce6d78c7fdb1648247583b86dcb3eb6ee747.sol,0.5.17,MinionSummoner
0x18dbb1b6a74087527036f2f95c7e186e2854ecd9.sol,0.5.2,IPOS
0x4d95a049d5b0b7d32058cd3f2163015747522e99.sol,0.5.12,Flopper
0x07534500d6A28D775F652280C3961813D2A9Ec0e.sol,0.6.0,VasaPowerSwitch
0x2A88696e0fFA76bAA1338F2C74497cC013495922.sol,0.5.2,WithdrawManagerProxy
0x1c1811b20d9b10fb04813a48396939e324051094.sol,0.4.24,GiantSourceChain
0x373552F6d1eAAeaDF54dD3B4147275804F2fd34d.sol,0.5.2,Proxy
0xa3d13105397F3b13Dd47cd1f90a50F95A60cdd56.sol,0.6.0,InstaOasisResolver
0x68f7d322b3a14984d95082e35a3bab0842acaa3d.sol,0.5.2,Blacklist
0x5b237b7babfc0709440af54a4e88bdbabc4a15b6.sol,0.5.17,Moloch
0x3219A16f204861B73A41805149489dcc5Ee55969.sol,0.5.0,USDS
0x0e3f6315c57d300a33b16b566b4fc95404f895ba.sol,0.4.26,YSM
0x40c90ec89dd4c814e91594d7aa02e9c70ffe4df1.sol,0.5.17,MysticMolochSummoner
0x8d6d12062af28936800e2b8193cfaf9805e0d0ff.sol,0.4.23,DigitalRhodiumDRh45
0x0c3f8df27e1a00b47653fde878d68d35f00714c0.sol,0.5.8,WhitePaperInterestRateModel
0xab96730d3cea1685dbf7451022826a2a5bd306ff.sol,0.5.0,LoanMover
0xac1699e45a39ffabf3cb0c3977bad35765eecf9d.sol,0.5.0,PolicySet
0x75e51b336ab1ec57456e637aac3aea149fac5ea4.sol,0.5.0,CurveModule
0x3fe92d883b69c716da757706b235cb7d3efc4938.sol,0.5.7,DepositContract
0x9f893545c7c1959bc935590b92e4671efc23ce6c.sol,0.5.16,Factory
0x1891e2217401e69a8c62b2ee65c347df02542223.sol,0.5.16,StrategyBalancerMTA
0x598e88053ce96aefda29040df513228bcf18bf97.sol,0.5.13,Kryptoid
0x8a0586e9c99b1596af42abf80b469fce321e8bac.sol,0.4.26,ERC20Utilities
0x7bae997806015b3e814124d14bb5bed6e725c0a9.sol,0.4.24,BCEToken
0x9d7812b32534db2fb03a3b199a9fecb720f43a05.sol,0.5.12,StaticCheckCheezeWizards
0x2160a4b3c6a4fad8f0c40a4816369e29ca3e47da.sol,0.5.17,MinionSummoner
0x86Dd3002BF215082Ea43b0Bd2fD595EcE4341880.sol,0.4.23,MainToken
0x67afa673a2e53abf4776e39f4b2e47308145f6cb.sol,0.4.26,Trader
0xb72A4aF9052728B830c814A256600F9b0920DD95.sol,0.6.5,IdleTokenAdapter
0x6c10511ddea5f3ed38a0163224198e37b81525bc.sol,0.4.24,Memes
0x5Ac44ca5368698568d96437363BEcc8Cd84EF061.sol,0.4.25,TagToken
0x0e414d014a77971f4eaa22ab58e6d84d16ea838e.sol,0.5.12,RealitioProxy
0x786b9b1e08689defb60bfc63f9c3c1c4f964d0cf.sol,0.4.25,SafeMath
0xb256fdd544e7a4edcdaf803c80ef667a92b5b11d.sol,0.4.21,BCCToken
0xa45dae1b4e70efdfc51741a5e4e53b2ee6f70586.sol,0.4.23,Token
0x7cf1b55e3bd7e8f0dfd4215f09b90e8be52d0f91.sol,0.6.0,SavingsProxy
0x88c7b1f41dde50effc25541a2e0769b887eb2ee7.sol,0.5.0,Market
0x90043b6162527fcf084f172022ee5beca3cdf410.sol,0.4.26,Trader
0xb3889cc313334de5431325c17c76aad71054d3ac.sol,0.5.0,Staking
0x4ba1bf0cb44c2d3c192251ef482b3be59867c62a.sol,0.4.26,ZipmexTokenV1
0x79d66e9f399609b43fc075a578bac91660192d43.sol,0.5.0,HobToken
0x91f79d4a59ce6e410fefb059a6d5679aa55403db.sol,0.5.16,GYFI
0x8D67753914a94f84947B1AC0AD4Ae66B23494E96.sol,0.5.2,EticaRelease
0x4c5e03065bc52cce84f3ac94df14bbac27eac89b.sol,0.5.16,MassetValidationHelper
0x43299c1debe09100deb8aa885de60d9be5e2071f.sol,0.5.10,MOGN
0x581ae5af7afa6f8171bbf40d1981779f168a9523.sol,0.6.5,BalancerAdapter
0x22e8a4ee1dd4d9ff9f9d2343b3165feec96295bc.sol,0.5.0,BridgeFlashLoanTaker
0x8eb58b6239cc369ef8bf0bc5f41d8b5aac5f8b90.sol,0.5.11,EtherDie
0x40f03d575dd6ad846de86a12cda20ecafdbe59bd.sol,0.4.23,KOLCoreTeam
0x7838C886C7F4431848CC0e8e07e7C59fACB154dF.sol,0.5.16,BRRYFI
0xb254f7e162c1d65dc9ce2f2a5b2eacdd2fd014fc.sol,0.4.25,SafeMath
0x460c84f33f63f9ca1fb73d95fd508e4c9574e85c.sol,0.5.12,IntToken
0xada3756cbeb133d518ae099614cf3c4c817571b9.sol,0.5.0,iDAIZapSwap
0xaac2497174f2ec4069a98375a67d798db8a05337.sol,0.5.15,PoapDelegatedMint
0x6644da81ec5af47df413be9f18ee9bb3b79681f2.sol,0.6.0,Interoperability
0x4f5f0933158569c026d617337614d00ee6589b6e.sol,0.5.12,GovActions
0x9a204ee88decc65dc126e67b9a900776c40cb395.sol,0.4.26,UniswapTradeExample
0x521fa45Ce25B0679a7Df4F60f78a407C4BfA2f05.sol,0.5.8,Contract
0x6aa6b1107b7c434bf95e27ef9126580f98822110.sol,0.5.0,DOC_v02
0xa11cf8f0ec86ec2170a1cc4e148f75f30e4dd882.sol,0.4.26,Trader
0x50a0ea5c75a7503866493807527a421d4e830ec0.sol,0.4.18,OlivePlus
0x23914b61e98da1e9e20b98d8cc41a86bc80a899b.sol,0.4.18,Token
0xa02BbBab0961f011D7a7AC45d2D30F2Ed8f51b08.sol,0.5.16,Migrations
0x7A87aCB1f92c50297239EF9B0Ef9387105Bd4Fc5.sol,0.5.12,DssJanuary10Spell
0x0f7ad062479bc90934a23aa6ba75a72aadf4c349.sol,0.5.0,CompoundSaverProxy
0x53942b6a50808adb3e4c8bb7e7e72a4cc993d7dc.sol,0.5.0,KyberAdapter
0x99c4569f5806e0e6732e28d7e1e9403b9d24f67c.sol,0.5.0,AirToken
0x026f23ae03de7d81e3af7252818fe9a05ac13a25.sol,0.4.24,COGEToken
0x00111feeb7ee43e262ff38aaf912b72ea668edc3.sol,0.5.11,RipgaleToken
