0xaf77249672bacb62a4616b81a6a190987222e577.sol,0.4.26,vote
0x9b9647431632af44be02ddd22477ed94d14aacaa.sol,0.4.21,KOKContract
0x8abeb9cbe15a298393587ab60496a5cf6b67a128.sol,0.4.26,THB
0x6F582E2bB19ac31D4B1e6eDD0c2eFEabD700f808.sol,0.5.11,TicketBroker
0x5b7820E62778C7317403D892f6501DD816F82730.sol,0.5.16,CacheGold
0x3171781bcfCd9E111225CDB42f33E856BA9F7A5a.sol,0.5.10,Sales
0x56c7bb2ef6357be01c5dbd8a29a4365aed559596.sol,0.4.24,EthereumGasChain
0x02b4958be94033c98314db1aa2f031da60e4498e.sol,0.5.0,AaveRate
0x2732e2a7bfAA8E5A21C07F4f1c167bBfbF7A2ac1.sol,0.5.16,AaveIntegration
0x5b1ce829384eebfa30286f12d1e7a695ca45f5d2.sol,0.5.11,ManagerProxy
